Name,date,Happiness,Surprise,Fear,Sadness,Disgust,Anger,Happiness_So_Far,Surprise_So_Far,Fear_So_Far,Sadness_So_Far,Disgust_So_Far,Anger_So_Far,Weather
A,7/12/14,,,,,,,4.146971935,0.0807484,0.056376169,0.086903003,0.187099951,0.588872477,25
A,7/13/14,4.125,0.000490436,0.000245218,,0.001226091,0.002206964,4.146885728,0.080922021,0.056400196,0.086316822,0.187591957,0.588769004,16
A,7/14/14,3.916666667,0.000733496,,,0.000244499,0.00195599,4.146210269,0.081418093,0.056234719,0.08606357,0.187286064,0.588997555,14
A,7/15/14,4.909090909,,,0.000243843,0.000487686,0.002194587,4.148256523,0.081199707,0.055840039,0.086076567,0.187271397,0.58961229,23
A,7/16/14,3.625,0.000486736,,0.000243368,0.000243368,0.000973473,4.147237771,0.081528352,0.055731321,0.086152349,0.187150158,0.589437819,19
A,7/17/14,3.444444444,0.000242836,0.000242836,0.000728509,0.000242836,0.000728509,4.145701797,0.081593006,0.055852356,0.086692569,0.186983973,0.588878096,13
A,7/18/14,4,0.000726568,,,0.000484379,0.001695326,4.145313635,0.082102204,0.055461371,0.086461613,0.186970211,0.589004602,13
A,7/19/14,3.9,,,0.000966417,0.000724813,0.000724813,4.144720947,0.081903842,0.055327374,0.087219135,0.187243295,0.588306354,17
A,7/20/14,3.666666667,0.000240906,0.000240906,0.000722717,0.000722717,0.000963623,4.143338954,0.081907974,0.055408335,0.087689713,0.187424717,0.58756926,9
A,7/21/14,2.666666667,,0.000481464,,0.000240732,,4.142272508,0.08184882,0.055849783,0.087626384,0.187530091,0.587144921,10
A,7/22/14,4.2,0.000479731,0.000239866,,0.000239866,0.002638522,4.142480211,0.082034061,0.055888702,0.087311106,0.187095227,0.587670904,13
A,7/23/14,4.75,,,0.000239406,,0.001675844,4.143643763,0.081876945,0.055781661,0.087383289,0.186736893,0.588221211,11
A,7/24/14,3.857142857,0.000478011,,,,0.001195029,4.143164436,0.082217973,0.055688337,0.087237094,0.186424474,0.588432122,11
A,7/25/14,2.75,0.000715649,0.00023855,0.00023855,0.00023855,0.000477099,4.140505725,0.082776718,0.055820611,0.08730916,0.186307252,0.58778626,11
A,7/26/14,4.428571429,,,0.000713267,0.000475511,0.0021398,4.141464574,0.082501189,0.055634807,0.087731812,0.186162625,0.587969567,7
A,7/27/14,4.818181818,,,,0.000474271,0.002134219,4.143229784,0.082285985,0.055489685,0.087502964,0.186151292,0.588570074,6
A,7/28/14,3.375,0.000236686,0.000473373,0.000236686,0.000236686,0.000710059,4.141775148,0.082366864,0.055857988,0.087573964,0.186035503,0.58816568,4
A,7/29/14,4.75,,,0.000236239,,0.001653674,4.14292464,0.082211198,0.055752421,0.087644696,0.185683912,0.588707772,15
A,7/30/14,3.875,0.000235793,0.000235793,,0.000471587,0.000943174,4.142419241,0.082291912,0.055883046,0.087479368,0.185805235,0.588540439,10
A,7/31/14,3.916666667,0.000470256,,0.000470256,0.000235128,0.001645897,4.141782271,0.082529979,0.05572537,0.087702798,0.185516106,0.588525747,14
A,8/1/14,4.571428571,,,,0.000704225,0.000938967,4.142488263,0.082394366,0.055633803,0.087558685,0.185915493,0.588497653,4
A,8/2/14,6,,,,,0.001172608,4.144230769,0.082082552,0.055581614,0.087476548,0.185741088,0.589118199,7
B,7/12/14,,,,,,,4.002871659,0.108018555,0.066489949,0.10072896,0.164126353,0.560636183,6
B,7/13/14,3.8,,0.000220653,0.000220653,0.000220653,0.000441306,4.002647838,0.107899382,0.066637246,0.100838482,0.164165931,0.560458959,5
B,7/14/14,3.888888889,,0.000220216,0.000440432,0.000660647,0.000660647,4.002422374,0.107685532,0.066725391,0.101079057,0.164501211,0.560008809,1
B,7/15/14,4.375,,,0.000439657,0.000219829,0.001099143,4.003077599,0.107496153,0.066608046,0.101340954,0.164431743,0.560123104,5
B,7/16/14,3.857142857,0.000438982,,,,0.001097454,4.00285338,0.107769974,0.066505707,0.10118525,0.164179104,0.560359965,7
B,7/17/14,4.142857143,,0.000219154,0.000219154,0.000219154,0.000876616,4.003068157,0.107604646,0.066622836,0.101249178,0.164146395,0.560376945,2
B,7/18/14,3.4,0.000218914,,0.000218914,0.000437828,0.000218914,4.002408056,0.107705779,0.066549912,0.101357268,0.164404553,0.559982487,5
B,7/19/14,4,0.000218627,,,0.000437254,0.000655881,4.002404897,0.107783122,0.066462615,0.101224311,0.164626148,0.559903804,5
B,7/20/14,4.428571429,,0.000218293,,0.000218293,0.001091465,4.003056101,0.107618424,0.066579349,0.101069635,0.164592884,0.560139707,8
B,7/21/14,4.4,,,0.000218055,0.000218055,0.000654165,4.003488879,0.10750109,0.06650676,0.101177497,0.164631487,0.560183166,3
B,7/22/14,4.6,,,0.000217817,,0.00087127,4.004138532,0.107384012,0.066434328,0.101285123,0.164452189,0.560444348,8
B,7/23/14,4.444444444,,,0.000434783,0.000217391,0.001304348,4.005,0.107173913,0.066304348,0.101521739,0.164347826,0.560652174,5
B,7/24/14,4.75,,,0.000217202,,0.00086881,4.005647263,0.107080799,0.066246742,0.101650738,0.163987837,0.561033884,8
B,7/25/14,4.285714286,0.000216873,0.000216873,,,0.001301236,4.006072435,0.107135112,0.066363045,0.101279549,0.163738885,0.561483409,12
B,7/26/14,4.666666667,,,0.00021645,0.00021645,0.001515152,4.007359307,0.106926407,0.066233766,0.101298701,0.163636364,0.561904762,12
B,7/27/14,3.444444444,0.000432059,,0.000648088,,0.000864118,4.006264852,0.107150572,0.06610499,0.101749838,0.163318211,0.561676388,5
B,7/28/14,4.4,,0.000215796,,,0.000863185,4.006689685,0.107034959,0.066249461,0.101640052,0.163141994,0.561933535,6
B,7/29/14,3.5,0.000431034,,,0.000215517,0.000646552,4.006034483,0.107327586,0.066163793,0.101508621,0.163146552,0.561853448,10
